title,firms,deal_value,summary,body,deal_date
TC Group merges with Wyatt Morris Golland,"TC Group, Wyatt Morris Golland",Undisclosed,Rochdale-based; further Greater Manchester expansion.,Rochdale-based; further Greater Manchester expansion.,2025-08-30
TC Group merges with Alexander Sloan,"TC Group, Alexander Sloan",Undisclosed,"Glasgow and Edinburgh; 150+ year heritage. First entry into Scotland; strong audit and assurance capability. Forms ""TC Alexander Sloan.""","Glasgow and Edinburgh; 150+ year heritage. First entry into Scotland; strong audit and assurance capability. Forms ""TC Alexander Sloan.""",2025-11-07
TC Group merges with Bache Brown & Co,"TC Group, Bache Brown & Co",Undisclosed,West Midlands-based; strengthens Midlands coverage.,West Midlands-based; strengthens Midlands coverage.,2025-11-07
TC Group acquires Clarkes Chartered Accountants,"TC Group (TC Harlands), Clarkes Chartered Accountants",Undisclosed,"North East practice; first ""tuck-in"" for TC Harlands arm.","North East practice; first ""tuck-in"" for TC Harlands arm.",2025-12-06
TC Group merges with BSN Associates,"TC Group, BSN Associates",Undisclosed,"Oldbury, West Midlands; one of the few all-female owned UK accountancy firms. Forms ""TC BSN.""","Oldbury, West Midlands; one of the few all-female owned UK accountancy firms. Forms ""TC BSN.""",2025-12-06
Dains acquires Consilium Chartered Accountants,"Dains, Consilium Chartered Accountants",Undisclosed,Glasgow-based (est. 2013); first deal under IK Partners. Scottish team reaches ~200 people.,Glasgow-based (est. 2013); first deal under IK Partners. Scottish team reaches ~200 people.,2025-02-06
Dains acquires Barnes Roffe,"Dains, Barnes Roffe",Undisclosed,"Top 50 firm (est. 1899); 29+ partners, 200+ employees, 5 London/SE offices. Largest Dains deal. Group exceeds 1,000 people.","Top 50 firm (est. 1899); 29+ partners, 200+ employees, 5 London/SE offices. Largest Dains deal. Group exceeds 1,000 people.",2025-06-04
Dains acquires TBAT Innovation,"Dains, TBAT Innovation",Undisclosed,"East Midlands specialist in R&D tax incentives and grant funding (engineering, software, AI, health/life sciences).","East Midlands specialist in R&D tax incentives and grant funding (engineering, software, AI, health/life sciences).",2025-09-03
Dains acquires Curo,"Dains, Curo",Undisclosed,"Bolsters audit, tax, accounting and corporate finance capabilities.","Bolsters audit, tax, accounting and corporate finance capabilities.",2025-10-06
Dains acquires GHE,"Dains, GHE",Undisclosed,Burton-on-Trent-based specialist in European funding strategies and grant management. Fifth deal since IK Partners investment.,Burton-on-Trent-based specialist in European funding strategies and grant management. Fifth deal since IK Partners investment.,2025-11-05
Affinia acquires Platt Rushton,"Affinia, Platt Rushton",Undisclosed,"Leigh-on-Sea, Essex (est. 1989); 30+ staff, ~500 clients. 10th Affinia office.","Leigh-on-Sea, Essex (est. 1989); 30+ staff, ~500 clients. 10th Affinia office.",2025-05-29
Affinia acquires Clarkson Hyde,"Affinia, Clarkson Hyde",Undisclosed,"Sutton, Surrey (est. 1923, 100+ years). Founding member of Clarkson Hyde Global.","Sutton, Surrey (est. 1923, 100+ years). Founding member of Clarkson Hyde Global.",2025-06-24
Affinia acquires Opass Billings Wilson & Honey,"Affinia, Opass Billings Wilson & Honey",Undisclosed,"Sidcup, Kent (est. 1920). Third Kent office, 11th overall.","Sidcup, Kent (est. 1920). Third Kent office, 11th overall.",2025-07-30
Affinia acquires PK Group,"Affinia, PK Group",Undisclosed,"Richmond and Woking, Surrey; accountancy, tax advisory and payroll. Group passes 600 staff.","Richmond and Woking, Surrey; accountancy, tax advisory and payroll. Group passes 600 staff.",2025-12-09
S&W acquires Beechwood Partners,"S&W, Beechwood Partners",Undisclosed,Dublin-based (est. 2005); private client tax advisory. First post-launch acquisition. 35 staff join.,Dublin-based (est. 2005); private client tax advisory. First post-launch acquisition. 35 staff join.,2025-08-19
S&W acquires ClearViewIP,"S&W, ClearViewIP",Undisclosed,"London-based IP advisory firm (est. 2007); 2 partners, 10 employees. Broadens advisory services.","London-based IP advisory firm (est. 2007); 2 partners, 10 employees. Broadens advisory services.",2025-10-06
S&W acquires Peppercorn Tax,"S&W, Peppercorn Tax",Undisclosed,Newcastle-based tax advisory (est. 2017); 8 colleagues. Builds on North East expansion.,Newcastle-based tax advisory (est. 2017); 8 colleagues. Builds on North East expansion.,2025-11-06
S&W acquires Haines Watts Scotland,"S&W, Haines Watts Scotland",Undisclosed,"Edinburgh, Kirkcaldy and Stirling; 39 employees. Introduces S&W brand to Scotland.","Edinburgh, Kirkcaldy and Stirling; 39 employees. Introduces S&W brand to Scotland.",2025-11-24
DJH acquires McBrides Accountants,"DJH, McBrides Accountants",Undisclosed,Bexley-based (53-year heritage). DJH's first entry into London and the South East.,Bexley-based (53-year heritage). DJH's first entry into London and the South East.,2025-04-01
DJH acquires Nicklin,"DJH, Nicklin",Undisclosed,Halesowen-based (90-year heritage). Strengthens West Midlands presence.,Halesowen-based (90-year heritage). Strengthens West Midlands presence.,2025-06-10
DJH acquires MSD Accountants (Ireland),"DJH, MSD Accountants",Undisclosed,Dublin-based; first Irish acquisition. Rebranded DJH Ireland by December 2025.,Dublin-based; first Irish acquisition. Rebranded DJH Ireland by December 2025.,2025-07-01
DJH acquires three Haines Watts offices,"DJH, Haines Watts (Chester, Liverpool, Wirral)",Undisclosed,Significant North West expansion; DJH turnover reaches £61.5m.,Significant North West expansion; DJH turnover reaches £61.5m.,2025-09-02
Gravita acquires Haines Watts Western,"Gravita, Haines Watts Western",Undisclosed,"Bristol and Exeter offices; 95-strong team, 2,500+ clients. Gravita's 7th transaction; headcount reaches 500+.","Bristol and Exeter offices; 95-strong team, 2,500+ clients. Gravita's 7th transaction; headcount reaches 500+.",2025-03-08
Azets Wealth Management acquires Laurus Associates,"Azets, Laurus Associates",Undisclosed,Newcastle-based Chartered Financial Planners. Strengthens North East and Scotland wealth management.,Newcastle-based Chartered Financial Planners. Strengthens North East and Scotland wealth management.,2025-01-07
Azets acquires specialist medical accounting team,"Azets, RSM UK (medical division)",Undisclosed,"30 colleagues (2 partners, 1 director) across South East, North West and Yorkshire. Serves 500+ GP practices.","30 colleagues (2 partners, 1 director) across South East, North West and Yorkshire. Serves 500+ GP practices.",2025-02-01
Azets acquires Ensors,"Azets, Ensors",Undisclosed,"One of East Anglia's oldest chartered accountancy firms (130+ years); 6 offices, 300+ employees. Milestone geographic expansion.","One of East Anglia's oldest chartered accountancy firms (130+ years); 6 offices, 300+ employees. Milestone geographic expansion.",2025-09-02
Azets Wealth Management acquires Evans Falco,"Azets, Evans Falco LLP",Undisclosed,"Cornwall-based Chartered Financial Planners (Redruth and Newquay, est. 2010). Team relocates to Azets Plymouth/Truro offices.","Cornwall-based Chartered Financial Planners (Redruth and Newquay, est. 2010). Team relocates to Azets Plymouth/Truro offices.",2025-11-06
Azets acquires part of KPMG Sweden's business,"Azets, KPMG Sweden",~£40m,"300 colleagues (14 partners) join Azets Sweden; doubles Swedish presence to 30+ cities. Audit, advisory, tax for SMEs and municipalities.","300 colleagues (14 partners) join Azets Sweden; doubles Swedish presence to 30+ cities. Audit, advisory, tax for SMEs and municipalities.",2025-02-14
Blick Rothenberg acquires Greenback Alan,"Blick Rothenberg, Greenback Alan",Undisclosed,"London-based (est. 1991); 4 partners, 30 employees, 300+ clients. 85% of business from Japan market.","London-based (est. 1991); 4 partners, 30 employees, 300+ clients. 85% of business from Japan market.",2025-04-01
Blick Rothenberg acquires The VAT Consultancy,"Blick Rothenberg, The VAT Consultancy",Undisclosed,London-based specialist VAT and Customs Duty consultancy. Expands indirect tax offering.,London-based specialist VAT and Customs Duty consultancy. Expands indirect tax offering.,2025-12-03
AAB merges with Ormsby & Rhodes,"AAB, Ormsby & Rhodes",Undisclosed,"Dublin-based (est. 1911); Top 20 Irish firm, €7m+ revenue, 42 employees. Pushes AAB past £100m revenue.","Dublin-based (est. 1911); Top 20 Irish firm, €7m+ revenue, 42 employees. Pushes AAB past £100m revenue.",2025-01-22
AAB Wealth acquires Magus Wealth,"AAB Wealth, Magus Wealth",Undisclosed,London-based financial planning firm (est. 1998); 37 staff. AUA rises to £1.8bn (£650m uplift).,London-based financial planning firm (est. 1998); 37 staff. AUA rises to £1.8bn (£650m uplift).,2025-04-14
AAB acquires GS Verde Group,"AAB, GS Verde Group",Undisclosed,"Multi-discipline M&A advisory (Cardiff, Bristol, Cheltenham, Dublin); 50+ staff. First deal post-Goldman Sachs. Takes AAB to £135m turnover.","Multi-discipline M&A advisory (Cardiff, Bristol, Cheltenham, Dublin); 50+ staff. First deal post-Goldman Sachs. Takes AAB to £135m turnover.",2025-12-01
Moore Kingston Smith merges with Statham Gill Davies,"Moore Kingston Smith, Statham Gill Davies",Undisclosed,"Specialist music law firm; 24 professionals. Creates ""Moore SGD Law"" and enhances 100+ strong media team.","Specialist music law firm; 24 professionals. Creates ""Moore SGD Law"" and enhances 100+ strong media team.",2025-01-01
Moore Kingston Smith acquires Moore Northern Ireland,"Moore Kingston Smith, Moore Northern Ireland",Undisclosed,"7 partners, 100 staff across Belfast, Coleraine and Derry/Londonderry. Fourth deal since Waterland investment.","7 partners, 100 staff across Belfast, Coleraine and Derry/Londonderry. Fourth deal since Waterland investment.",2025-08-01
Moore Kingston Smith acquires CBW Recovery,"Moore Kingston Smith, CBW Recovery",Undisclosed,"London-based insolvency partnership; 2 licensed insolvency practitioners, 11 professionals. Strengthens restructuring capabilities.","London-based insolvency partnership; 2 licensed insolvency practitioners, 11 professionals. Strengthens restructuring capabilities.",2025-08-01
Wilson Partners acquires Max Accountants,"Wilson Partners, Max Accountants",Undisclosed,Rutland-based; doubles specialist team for early-stage tech and life sciences companies. Revenue reaches £32m.,Rutland-based; doubles specialist team for early-stage tech and life sciences companies. Revenue reaches £32m.,2025-02-28
Wilson Partners merges with Mark Holt & Co,"Wilson Partners, Mark Holt & Co",Undisclosed,Plymouth-based (38 years); combined 300+ professionals. Mark Holt & Co rebrands to Wilson Partners.,Plymouth-based (38 years); combined 300+ professionals. Mark Holt & Co rebrands to Wilson Partners.,2025-07-31
Wilson Partners acquires Peplows,"Wilson Partners, Peplows",Undisclosed,"Exeter and Newton Abbot (est. 1937). 10th acquisition; revenue reaches £40m, 360+ staff, 10 offices.","Exeter and Newton Abbot (est. 1937). 10th acquisition; revenue reaches £40m, 360+ staff, 10 offices.",2025-12-09
Streets merges with Fitpro Financial,"Streets, Fitpro Financial",Undisclosed,Belfast-based fitness industry accounting specialist. Creates Streets (Belfast) Limited; first NI entry.,Belfast-based fitness industry accounting specialist. Creates Streets (Belfast) Limited; first NI entry.,2025-05-31
